"","count","uni","bi","tri"
"0",0,1.3917247202871,6.95719824507571e-05,1.36789788404963e-09
"1",1,0.375455632960383,0.248174140522073,0.175105471577548
"2",2,1.30766086430977,1.14496928147011,0.21588128022413
"3",3,2.34129855558018,2.1185441516191,3.43439449965474
"4",4,3.41784169476104,3.13281015059126,3.20152420463247
"5",5,4.31258667288393,4.12306091144169,4.31561675077962
"6",6,4639,46274,40242
